Team1,Team2,Winner,Ground,Date,Match_no,link,TeamName,inns,fours,sixes,xtras_receive,total,wkts_lost
Australia,Pakistan,Australia,Sydney,"Jan 2-5, 2005",1731,http://www.espncricinfo.com/ci/engine/match/64115.html,Pakistan,1,39,2,12,304,10
Australia,Pakistan,Australia,Sydney,"Jan 2-5, 2005",1731,http://www.espncricinfo.com/ci/engine/match/64115.html,Australia,1,73,7,42,568,10
Australia,Pakistan,Australia,Sydney,"Jan 2-5, 2005",1731,http://www.espncricinfo.com/ci/engine/match/64115.html,Pakistan,2,49,0,9,325,10
Australia,Pakistan,Australia,Sydney,"Jan 2-5, 2005",1731,http://www.espncricinfo.com/ci/engine/match/64115.html,Australia,2,11,0,1,62,1
South Africa,England,South Africa,Cape Town,"Jan 2-6, 2005",1732,http://www.espncricinfo.com/ci/engine/match/64118.html,South Africa,1,42,0,28,441,10
South Africa,England,South Africa,Cape Town,"Jan 2-6, 2005",1732,http://www.espncricinfo.com/ci/engine/match/64118.html,England,1,19,0,10,163,10
South Africa,England,South Africa,Cape Town,"Jan 2-6, 2005",1732,http://www.espncricinfo.com/ci/engine/match/64118.html,South Africa,2,20,1,36,222,8
South Africa,England,South Africa,Cape Town,"Jan 2-6, 2005",1732,http://www.espncricinfo.com/ci/engine/match/64118.html,England,2,36,1,27,304,10
Bangladesh,Zimbabwe,Bangladesh,Chittagong,"Jan 6-10, 2005",1733,http://www.espncricinfo.com/ci/engine/match/64121.html,Bangladesh,1,64,6,19,488,10
Bangladesh,Zimbabwe,Bangladesh,Chittagong,"Jan 6-10, 2005",1733,http://www.espncricinfo.com/ci/engine/match/64121.html,Zimbabwe,1,48,1,12,312,10
Bangladesh,Zimbabwe,Bangladesh,Chittagong,"Jan 6-10, 2005",1733,http://www.espncricinfo.com/ci/engine/match/64121.html,Bangladesh,2,21,2,18,204,9
Bangladesh,Zimbabwe,Bangladesh,Chittagong,"Jan 6-10, 2005",1733,http://www.espncricinfo.com/ci/engine/match/64121.html,Zimbabwe,2,20,0,6,154,10
South Africa,England,England,Johannesburg,"Jan 13-17, 2005",1734,http://www.espncricinfo.com/ci/engine/match/64119.html,England,1,58,3,18,411,8
South Africa,England,England,Johannesburg,"Jan 13-17, 2005",1734,http://www.espncricinfo.com/ci/engine/match/64119.html,South Africa,1,57,1,35,419,10
South Africa,England,England,Johannesburg,"Jan 13-17, 2005",1734,http://www.espncricinfo.com/ci/engine/match/64119.html,England,2,42,6,24,332,9
South Africa,England,England,Johannesburg,"Jan 13-17, 2005",1734,http://www.espncricinfo.com/ci/engine/match/64119.html,South Africa,2,40,0,20,247,10
Bangladesh,Zimbabwe,drawn,Dhaka,"Jan 14-18, 2005",1735,http://www.espncricinfo.com/ci/engine/match/64122.html,Zimbabwe,1,36,2,11,298,10
